nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT06628622,A Study to Test Whether BI 1356225 Improves Impulsive Behavior in People With Opioid Use Disorder Who Are Taking Buprenorphine,TERMINATED,2025-01-27,Sponsor decision,PHASE1,12,Boehringer Ingelheim,INDUSTRY,Opioid Use Disorder,BI 1356225|Placebo,2026-09-07,False,False
NCT03697551,Define the Optimal Uptake Time of 68Ga-OPS202 When Used as a PET (Positron Emission Tomography) Imaging Agent in Subjects With Newly Diagnosed Breast Cancer,TERMINATED,2018-10-22,Recruitment challenges and not due to safety concerns.,PHASE2,4,Ipsen,INDUSTRY,Breast Cancer,Satoreotide trizoxetan,2026-09-07,False,False
NCT03316729,DS-9231 in Intermediate-risk (Sub-massive) Acute Pulmonary Embolism (PE),WITHDRAWN,2018-01,Product development cancelled.,PHASE2,0,Daiichi Sankyo,INDUSTRY,Pulmonary Embolism,DS-9231|Placebo,2026-09-07,False,False
NCT02568046,Sym004 in Combination With FOLFIRI in Metastatic Colorectal Cancer Patients,TERMINATED,2016-03-15,Discontinued development of Sym004 in combination with FOLFIRI,PHASE1|PHASE2,10,Symphogen A/S,INDUSTRY,Metastatic Colorectal Cancer,Sym004|FOLFIRI,2026-09-07,False,False
NCT02330146,"Safety and Efficacy of RCT-01 in Men and Women With Unilateral, Chronic Achilles Tendinosis",TERMINATED,2015-05,"* slower than anticipated rate of enrollment
* need to obtain safety and efficacy data in a timely manner
* pending expiry of manufacturing materials/reagents",PHASE1|PHASE2,8,"RepliCel Life Sciences, Inc.",INDUSTRY,Tendinosis|Tendinopathy,RCT-01|Placebo,2026-09-07,False,False
NCT04820842,A Study of TAK-994 in Adults With Narcolepsy,TERMINATED,2021-04-30,"A safety signal has emerged in Phase 2 studies of TAK-994. As an immediate precautionary measure, Takeda has suspended dosing of patients and has decided to stop Phase 2 studies early.",PHASE2,26,Takeda,INDUSTRY,Narcolepsy Type 1 (NT 1),TAK-994|Placebo,2026-09-07,False,False
NCT02715505,Safety and Exploratory Efficacy of HSC835 in Patients With Inherited Metabolic Disorders (IMD),WITHDRAWN,2017-10-10,This study was cancelled with no patients,PHASE1|PHASE2,0,Novartis Pharmaceuticals,INDUSTRY,Inherited Metabolic Disorders IMD,Umbilical cord blood transplantation with HSC835,2026-09-07,False,False
NCT04115956,A Clinical Study of Melphalan Flufenamide (Melflufen) and Dexamethasone for Patients With Immunoglobulin Light Chain (AL) Amyloidosis,TERMINATED,2020-08-06,The sponsor decided to terminate the study following an FDA request of a partial clinical hold.,PHASE1,6,Oncopeptides AB,INDUSTRY,AL Amyloidosis,Melphalan-Flufenamide (Melflufen)|Dexamethasone,2026-09-07,False,False
NCT03767829,A Study of ALN-AAT02 in Healthy Participants and Participants With ZZ Type Alpha-1 Antitrypsin Deficiency Liver Disease,TERMINATED,2018-12-05,The sponsor decided not to proceed with Part B for business reasons.,PHASE1|PHASE2,32,Alnylam Pharmaceuticals,INDUSTRY,ZZ Type Alpha-1 Antitrypsin Deficiency Liver Disease,ALN-AAT02|Placebo|ALN-AAT02,2026-09-07,False,False
NCT05119894,A Clinical Pharmacology Trial of Brexpiprazole Long Acting Injectable (LAI) Administered as a Single Dose in Patients With Schizophrenia,WITHDRAWN,2021-11-22,Sponsor decision:Change the Development plan,PHASE1,0,"Otsuka Pharmaceutical Co., Ltd.",INDUSTRY,Schizophrenia,Brexpiprazole LAI: Dose 1|Brexpiprazole LAI: Dose 2|Brexpiprazole LAI: Dose 3|Brexpiprazole LAI: Dose 4,2026-09-07,False,False
NCT04617054,Phase II Study of AB-106 to Treat Patients With Solid Tumors With NTRK Gene Fusion,TERMINATED,2021-06-01,The study was discontinued early by the Sponsor for business reasons on 06 Dec 2024,PHASE2,14,Nuvation Bio Inc.,INDUSTRY,Solid Tumor,AB-106,2026-09-07,False,False
